id,position,customer,status,product_name,photo_url,is_deleted,previous_position,navodka_url
1002,48B c.,VW,null,Prallplatte,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1002_01002_Prallplatte.pdf"", ""title"": ""Návodka""}]"
20,50A m.,Škoda,null,Nosič motoru,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/20_00020_Nosic_motoru_00020.pdf"", ""title"": ""Návodka""}]"
21,49C b.,Škoda,null,Zajišťovací díl,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/21_00021_Zajistovaci_dil_L_R_00021.pdf"", ""title"": ""Návodka""}]"
1029,Mezisklad,VW,,Aufnahme Dichtring LSP hinten re,,false,,"[{""url"":""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/1029_01029_Aufnahme_Dichtring_LSP_Hinten_Re.pdf"",""title"":""Návodka 2""}]"
703,38C m.,Scherdel,null,Ventil klein US III,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/703_Ventil_maly_modry_US_16x_00703.pdf"", ""title"": ""Modrá""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/703_Ventil_maly_zeleny_US_16x_00703.pdf"", ""title"": ""Zelená""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/703_Ventil_maly_cerny_US_16x_00703.pdf"", ""title"": ""Černá""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/703_Ventil_maly_cerveny_US_16x_00703.pdf"", ""title"": ""Červená""}, {""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/703_Ventil_maly_sedy_US_16x_00703.pdf"", ""title"": ""Šedá""}]"
741,49D h.,Škoda,null,Upevňovací háček,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/741_Upevnovaci_hacek_00741.pdf"", ""title"": ""Návodka""}]"
745,42A z.,Witte,null,Dichtung,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/745_Dichtung_00745.pdf"", ""title"": ""Návodka""}]"
866,44C c.,Witte,null,Blockiernocken GOB (Servo),null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/866_00866_Blockiernocken_GOB_Servo_.pdf"", ""title"": ""Návodka""}]"
878,45D m.,Grammer,null,Support f. pan. Cupholder,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/878_00878_Support_f._pan._Cupholder.pdf"", ""title"": ""Návodka""}]"
879,47D z.,Grammer,null,Shell down f.pan. RR,null,false,null,"[{""url"": ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/879_00879_Shell_down_f.pan._RR.pdf"", ""title"": ""Návodka""}]"
